date,debit,free_credit_cash,free_credit_margin,total_free_credit,gdp_b,mktcap_m,debt_gdp_pct,debt_mktcap_pct,net_leverage
2001-05-01,183041,183493,,,10599.0,17317619.0,1.7269648080007547,1.056964008735843,
2001-06-01,179585,187602,,,10599.0,17317619.0,1.6943579582979527,1.0370074546622141,
2001-07-01,173680,185100,,,10598.02,14646910.0,1.638796680889449,1.1857791165508629,
2001-08-01,169316,191219,,,10598.02,14646910.0,1.5976191779219138,1.1559844363077265,
2001-09-01,157931,211281,,,10598.02,14646910.0,1.4901934512295691,1.0782547308613217,
2001-10-01,152367,187012,,,10660.465,16387162.0,1.429271612448425,0.929794921170609,
2001-11-01,159440,188441,,,10660.465,16387162.0,1.4956195625612954,0.972956757246923,
2001-12-01,160473,197424,,,10660.465,16387162.0,1.5053095713929927,0.9792604723136318,
2002-01-01,160906,189841,,,10783.5,16564467.0,1.4921500440487783,0.9713925597485268,
2002-02-01,154931,186919,,,10783.5,16564467.0,1.436741317753976,0.9353213719463476,
2002-03-01,160089,180578,,,10783.5,16564467.0,1.4845736541939074,0.9664603153243627,
2002-04-01,159072,175730,,,10887.46,14743424.0,1.4610570325861127,1.078935259543509,
2002-05-01,157802,173395,,,10887.46,14743424.0,1.449392236573085,1.0703212496635788,
2002-06-01,153972,178744,,,10887.46,14743424.0,1.4142141509589932,1.0443435663248917,
2002-07-01,143905,183326,,,10984.04,12318221.0,1.3101281495697394,1.1682287564089002,
2002-08-01,139146,174995,,,10984.04,12318221.0,1.2668016503945725,1.1295949309563451,
2002-09-01,136107,180997,,,10984.04,12318221.0,1.2391342347624372,1.1049241607209352,
2002-10-01,138647,181069,,,11061.433,13193163.0,1.2534271102125738,1.050900379234305,
2002-11-01,139472,176062,,,11061.433,13193163.0,1.260885456703485,1.0571536181278136,
2002-12-01,139451,184715,,,11061.433,13193163.0,1.2606956078837164,1.0569944447741608,
2003-01-01,141391,179528,,,11174.129,12746087.0,1.265342470988119,1.109289462719029,
2003-02-01,140516,179925,,,11174.129,12746087.0,1.2575118830290932,1.1024246107844704,
2003-03-01,144267,176955,,,11174.129,12746087.0,1.2910804949540138,1.1318532503347891,
2003-04-01,143237,168756,,,11312.766,14797454.0,1.2661536533152016,0.9679840869922623,
2003-05-01,153725,178946,,,11312.766,14797454.0,1.3588630755732065,1.0388611446266365,
2003-06-01,168281,190026,,,11312.766,14797454.0,1.4875318732836869,1.1372294179796065,
2003-07-01,174427,199973,,,11566.669,15485404.0,1.5080141050115639,1.1263961857243119,
2003-08-01,167200,188112,,,11566.669,15485404.0,1.4455328496043243,1.0797264314189026,
2003-09-01,171194,189826,,,11566.669,15485404.0,1.4800631020045616,1.1055184611263613,
2003-10-01,175428,191554,,,11772.234,17330169.0,1.4901844458749292,1.0122694129526377,
2003-11-01,182587,184899,,,11772.234,17330169.0,1.550997032508868,1.053578877390059,
2003-12-01,181459,199297,,,11772.234,17330169.0,1.5414151638508036,1.0470699968361532,
2004-01-01,189429,198628,,,11923.447,17986909.0,1.5887100433289132,1.053149265390735,
2004-02-01,190448,200323,,,11923.447,17986909.0,1.5972562296792194,1.0588144966986823,
2004-03-01,191451,203953,,,11923.447,17986909.0,1.605668226646204,1.0643907744237768,
2004-04-01,198778,217992,,,12112.815,18196821.0,1.6410553616149508,1.092377619145674,
2004-05-01,193843,219640,,,12112.815,18196821.0,1.6003133871028328,1.0652574974496918,
2004-06-01,193993,220781,,,12112.815,18196821.0,1.6015517449907393,1.0660818172580804,
2004-07-01,187844,220196,,,12305.307,17977053.0,1.5265283507351746,1.0449098637023544,
2004-08-01,187828,217945,,,12305.307,17977053.0,1.5263983255354783,1.0448208613503003,
2004-09-01,193668,220860,,,12305.307,17977053.0,1.5738575234246492,1.0773067198500221,
2004-10-01,197999,218090,,,12527.214,19801016.0,1.5805509509137468,0.9999436392556826,
2004-11-01,211012,223928,,,12527.214,19801016.0,1.6844287963788278,1.0656624892379258,
2004-12-01,217573,238192,,,12527.214,19801016.0,1.7368027719491343,1.098797152630956,
2005-01-01,220122,230624,,,12767.286,19661403.0,1.7241095719168507,1.1195640514565517,
2005-02-01,223155,224392,,,12767.286,19661403.0,1.747865599627047,1.1349902140757706,
2005-03-01,226876,234533,,,12767.286,19661403.0,1.7770103998610196,1.153915618331001,
2005-04-01,217447,223839,,,12922.656,20136765.0,1.6826804025426352,1.07985071087635,
2005-05-01,219404,224933,,,12922.656,20136765.0,1.6978243481835311,1.0895692530552945,
2005-06-01,224153,234352,,,12922.656,20136765.0,1.7345737594500699,1.1131529816234136,
2005-07-01,233585,224242,,,13142.642,21053481.0,1.7773062676439029,1.1094839850949114,
2005-08-01,231400,225410,,,13142.642,21053481.0,1.7606809954954263,1.099105653834632,
2005-09-01,244669,238929,,,13142.642,21053481.0,1.8616424307989217,1.1621308609250889,
2005-10-01,239868,243174,,,13324.204,21517162.0,1.8002426261261084,1.1147752663664474,
2005-11-01,242904,241695,,,13324.204,21517162.0,1.8230282274273195,1.128884933803073,
2005-12-01,244098,263205,,,13324.204,21517162.0,1.8319893631169264,1.134433992735659,
2006-01-01,255795,255819,,,13599.16,23078819.0,1.8809617652855029,1.1083539413346932,
2006-02-01,249609,257573,,,13599.16,23078819.0,1.835473661608511,1.0815501434453816,
2006-03-01,259370,258928,,,13599.16,23078819.0,1.9072501536859627,1.123844335362221,
2006-04-01,265164,259342,,,13753.424,22483895.0,1.9279853511387417,1.1793508197756661,
